,Date,Region,Confirmed,Deaths,Recovered
295,02/05/2020,South Korea,19,0,0
296,02/05/2020,Spain,1,0,0
297,02/05/2020,Sri Lanka,1,0,0
298,02/05/2020,Sweden,1,0,0
299,02/05/2020,Taiwan,11,0,0
300,02/05/2020,Thailand,25,0,5
301,02/05/2020,UK,2,0,0
302,02/05/2020,US,12,0,0
303,02/05/2020,United Arab Emirates,5,0,0
304,02/05/2020,Vietnam,8,0,1
305,02/06/2020,Australia,14,0,2
306,02/06/2020,Belgium,1,0,0
307,02/06/2020,Cambodia,1,0,0
308,02/06/2020,Canada,5,0,0
309,02/06/2020,Finland,1,0,0
310,02/06/2020,France,6,0,0
311,02/06/2020,Germany,12,0,0
312,02/06/2020,Hong Kong,24,1,0
313,02/06/2020,India,3,0,0
314,02/06/2020,Italy,2,0,0
315,02/06/2020,Japan,45,0,1
316,02/06/2020,Macau,10,0,1
317,02/06/2020,Mainland China,30553,632,1476
318,02/06/2020,Malaysia,12,0,0
319,02/06/2020,Nepal,1,0,0
320,02/06/2020,Philippines,2,1,0
321,02/06/2020,Russia,2,0,0
322,02/06/2020,Singapore,28,0,0
323,02/06/2020,South Korea,23,0,0
324,02/06/2020,Spain,1,0,0
325,02/06/2020,Sri Lanka,1,0,0
326,02/06/2020,Sweden,1,0,0
327,02/06/2020,Taiwan,16,0,1
328,02/06/2020,Thailand,25,0,5
329,02/06/2020,UK,2,0,0
330,02/06/2020,US,12,0,0
331,02/06/2020,United Arab Emirates,5,0,0
332,02/06/2020,Vietnam,10,0,1
333,02/07/2020,Australia,15,0,2
334,02/07/2020,Belgium,1,0,0
335,02/07/2020,Cambodia,1,0,0
336,02/07/2020,Canada,7,0,0
337,02/07/2020,Finland,1,0,0
338,02/07/2020,France,6,0,0
339,02/07/2020,Germany,13,0,0
340,02/07/2020,Hong Kong,25,1,0
341,02/07/2020,India,3,0,0
342,02/07/2020,Italy,3,0,0
343,02/07/2020,Japan,25,0,1
344,02/07/2020,Macau,10,0,1
345,02/07/2020,Mainland China,34075,717,1998
346,02/07/2020,Malaysia,12,0,1
347,02/07/2020,Nepal,1,0,0
348,02/07/2020,Others,61,0,0
349,02/07/2020,Philippines,3,1,0
350,02/07/2020,Russia,2,0,0
351,02/07/2020,Singapore,30,0,0
352,02/07/2020,South Korea,24,0,1
